OID|ValueSetName|NumberOfCodes
2.16.840.1.113883.3.526.3.1240|Annual Wellness Visit|2
2.16.840.1.113883.3.464.1003.101.12.1014|Care Services in Long-Term Residential Facility|9
2.16.840.1.114222.4.11.837|Ethnicity|2
2.16.840.1.113883.3.464.1003.101.12.1048|Face-to-Face Interaction|15
2.16.840.1.113883.3.464.1003.118.12.1028|Falls Screening|2
2.16.840.1.113883.3.464.1003.101.12.1016|Home Healthcare Services|9
2.16.840.1.113883.3.526.3.1007|Medical Reason|22
2.16.840.1.113883.3.464.1003.101.12.1012|Nursing Facility Visit|7
2.16.840.1.113762.1.4.1|ONC Administrative Sex|3
2.16.840.1.113883.3.464.1003.101.12.1001|Office Visit|9
2.16.840.1.113883.3.464.1003.118.12.1009|Patient not ambulatory|9
2.16.840.1.114222.4.11.3591|Payer|145
2.16.840.1.113883.3.464.1003.101.12.1025|Preventive Care Services - Established Office Visit, 18 and Up|3
2.16.840.1.113883.3.464.1003.101.12.1026|Preventive Care Services-Individual Counseling|4
2.16.840.1.113883.3.464.1003.101.12.1023|Preventive Care Services-Initial Office Visit, 18 and Up|3
2.16.840.1.114222.4.11.836|Race|6
2.16.840.1.113883.3.560.100.4|birth date|1
