OID|Version|Source|Type|Definition|MUType|MeasureTitle|QDM|NQF|CMSId
1.3.6.1.4.1.33895.1.3.0.45|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Aspirin Prescribed at Discharge|Intervention|0142|CMS100v3|
1.3.6.1.4.1.33895.1.3.0.45|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Discharged on Antithrombotic Therapy|Intervention|0435|CMS104v3|
1.3.6.1.4.1.33895.1.3.0.45|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Venous Thromboembolism Patients Receiving Unfractionated Heparin with Dosages/Platelet Count Monitoring by Protocol or Nomogram|Intervention||CMS109v3|
1.3.6.1.4.1.33895.1.3.0.45|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Statin Prescribed at Discharge|Intervention|0639|CMS30v4|
1.3.6.1.4.1.33895.1.3.0.45|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Stroke Education|Intervention||CMS107v3|
1.3.6.1.4.1.33895.1.3.0.45|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Discharged on Statin Medication|Intervention|0439|CMS105v3|
1.3.6.1.4.1.33895.1.3.0.45|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Anticoagulation Therapy for Atrial Fibrillation/Flutter|Intervention|0436|CMS71v4|
1.3.6.1.4.1.33895.1.3.0.45|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Intensive Care Unit Venous Thromboembolism Prophylaxis|Intervention|0372|CMS190v3|
1.3.6.1.4.1.33895.1.3.0.45|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Assessed for Rehabilitation|Intervention|0441|CMS102v3|
1.3.6.1.4.1.33895.1.3.0.45|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Antithrombotic Therapy By End of Hospital Day 2|Intervention|0438|CMS72v3|
1.3.6.1.4.1.33895.1.3.0.45|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Venous Thromboembolism Prophylaxis|Intervention|0371|CMS108v3|
1.3.6.1.4.1.33895.1.3.0.45|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Incidence of Potentially-Preventable Venous Thromboembolism|Intervention||CMS114v3|
1.3.6.1.4.1.33895.1.3.0.45|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Initial Antibiotic Selection for Community-Acquired Pneumonia (CAP) in Immunocompetent Patients|Intervention|0147|CMS188v4|
1.3.6.1.4.1.33895.1.3.0.45|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Venous Thromboembolism Patients with Anticoagulation Overlap Therapy|Intervention|0373|CMS73v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Discharged on Antithrombotic Therapy|Individual Characteristic|0435|CMS104v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Venous Thromboembolism Discharge Instructions|Individual Characteristic||CMS110v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Discharged on Statin Medication|Individual Characteristic|0439|CMS105v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Thrombolytic Therapy|Individual Characteristic|0437|CMS91v4|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Primary PCI Received Within 90 Minutes of Hospital Arrival|Individual Characteristic|0163|CMS53v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Initial Antibiotic Selection for Community-Acquired Pneumonia (CAP) in Immunocompetent Patients|Individual Characteristic|0147|CMS188v4|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Urinary catheter removed on Postoperative Day 1 (POD 1) or Postoperative Day 2 (POD 2) with day of surgery being day zero|Individual Characteristic|0453|CMS178v4|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Incidence of Potentially-Preventable Venous Thromboembolism|Individual Characteristic||CMS114v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Intensive Care Unit Venous Thromboembolism Prophylaxis|Individual Characteristic|0372|CMS190v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Median Time from ED Arrival to ED Departure for Admitted ED Patients|Individual Characteristic|0495|CMS55v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Stroke Education|Individual Characteristic||CMS107v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Home Management Plan of Care (HMPC) Document Given to Patient/Caregiver|Individual Characteristic||CMS26v2|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Venous Thromboembolism Patients Receiving Unfractionated Heparin with Dosages/Platelet Count Monitoring by Protocol or Nomogram|Individual Characteristic||CMS109v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Healthy Term Newborn|Individual Characteristic|0716|CMS185v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Elective Delivery|Individual Characteristic|0469|CMS113v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Assessed for Rehabilitation|Individual Characteristic|0441|CMS102v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Median Admit Decision Time to ED Departure Time for Admitted Patients|Individual Characteristic|0497|CMS111v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Prophylactic Antibiotic Received Within One Hour Prior to Surgical Incision|Individual Characteristic|0527|CMS171v4|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Hearing Screening Prior To Hospital Discharge|Individual Characteristic|1354|CMS31v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Fibrinolytic Therapy Received Within 30 Minutes of Hospital Arrival|Individual Characteristic|0164|CMS60v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Dementia: Cognitive Assessment|Individual Characteristic|Not Applicable|CMS149v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Depression Utilization of the PHQ-9 Tool|Individual Characteristic|0712|CMS160v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Controlling High Blood Pressure|Individual Characteristic|0018|CMS165v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Preventive Care and Screening:  Screening for High Blood Pressure and Follow-Up Documented|Individual Characteristic|Not Applicable|CMS22v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|HIV/AIDS: Pneumocystis Jiroveci Pneumonia (PCP) Prophylaxis|Individual Characteristic|0405|CMS52v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|HIV/AIDS: RNA Control for Patients with HIV|Individual Characteristic|Not Applicable|CMS77v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Functional Status Assessment for Complex Chronic Conditions|Individual Characteristic|Not Applicable|CMS90v4|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Childhood Immunization Status|Individual Characteristic|0038|CMS117v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Prostate Cancer: Avoidance of Overuse of Bone Scan for Staging Low Risk Prostate Cancer Patients|Individual Characteristic|0389|CMS129v4|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Colorectal Cancer Screening|Individual Characteristic|0034|CMS130v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Cataracts: Complications within 30 Days Following Cataract Surgery Requiring Additional Surgical Procedures|Individual Characteristic|0564|CMS132v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Primary Open-Angle Glaucoma (POAG): Optic Nerve Evaluation|Individual Characteristic|0086|CMS143v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Weight Assessment and Counseling for Nutrition and Physical Activity for Children and Adolescents|Individual Characteristic|0024|CMS155v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Chlamydia Screening for Women|Individual Characteristic|0033|CMS153v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Breast Cancer: Hormonal Therapy for Stage IC-IIIC Estrogen Receptor/Progesterone Receptor (ER/PR) Positive Breast Cancer|Individual Characteristic|0387|CMS140v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Coronary Artery Disease (CAD): Beta-Blocker Therapy—Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF <40%)|Individual Characteristic|0070|CMS145v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Adult Major Depressive Disorder (MDD): Suicide Risk Assessment|Individual Characteristic|0104|CMS161v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Child and Adolescent Major Depressive Disorder (MDD): Suicide Risk Assessment|Individual Characteristic|1365|CMS177v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Ischemic Vascular Disease (IVD): Complete Lipid Panel and LDL Control|Individual Characteristic|0075|CMS182v4|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Hypertension: Improvement in Blood Pressure|Individual Characteristic|Not Applicable|CMS65v4|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Diabetes: Low Density Lipoprotein (LDL) Management|Individual Characteristic|0064|CMS163v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Diabetic Retinopathy: Documentation of Presence or Absence of Macular Edema and Level of Severity of Retinopathy|Individual Characteristic|0088|CMS167v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan|Individual Characteristic|0418|CMS2v4|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Preventive Care and Screening: Cholesterol - Fasting Low Density Lipoprotein (LDL-C) Test Performed|Individual Characteristic|Not Applicable|CMS61v4|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Functional Status Assessment for Knee Replacement|Individual Characteristic|Not Applicable|CMS66v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Maternal Depression Screening|Individual Characteristic|1401|CMS82v2|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Documentation of Current Medications in the Medical Record|Individual Characteristic|0419|CMS68v4|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan|Individual Characteristic|0421|CMS69v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Diabetes: Hemoglobin A1c Poor Control|Individual Characteristic|0059|CMS122v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Breast Cancer Screening|Individual Characteristic|Not Applicable|CMS125v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Cervical Cancer Screening|Individual Characteristic|0032|CMS124v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Pneumonia Vaccination Status for Older Adults|Individual Characteristic|0043|CMS127v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Anti-depressant Medication Management|Individual Characteristic|0105|CMS128v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Use of High-Risk Medications in the Elderly|Individual Characteristic|0022|CMS156v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Use of Imaging Studies for Low Back Pain|Individual Characteristic|0052|CMS166v4|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Diabetes: Urine Protein Screening|Individual Characteristic|0062|CMS134v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Initiation and Engagement of Alcohol and Other Drug Dependence Treatment|Individual Characteristic|0004|CMS137v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Cataracts: 20/40 or Better Visual Acuity within 90 Days Following Cataract Surgery|Individual Characteristic|0565|CMS133v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Heart Failure (HF): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy for Left Ventricular Systolic Dysfunction (LVSD)|Individual Characteristic|0081|CMS135v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Falls: Screening for Future Fall Risk|Individual Characteristic|0101|CMS139v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Colon Cancer: Chemotherapy for AJCC Stage III Colon Cancer Patients|Individual Characteristic|0385|CMS141v4|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Preventive Care and Screening: Influenza Immunization|Individual Characteristic|0041|CMS147v4|
